Entity,Year,Mismanaged plastic waste per capita (kg per year)
Africa,2019,10.46592827
Albania,2019,24.23915307
Algeria,2019,17.75899473
Angola,2019,7.445278869
Antigua and Barbuda,2019,6.463917526
Argentina,2019,10.40191152
Asia,2019,8.667235444
Australia,2019,0.20894338
Bahamas,2019,5.686375321
Bahrain,2019,0.635588056
Bangladesh,2019,6.268108387
Barbados,2019,3.038327526
Belgium,2019,0.19793743
Belize,2019,15.43846154
Benin,2019,11.29861876
Bosnia and Herzegovina,2019,16.82853681
Brazil,2019,15.62046908
Brunei,2019,1.598152425
Bulgaria,2019,0.445285714
Burkina Faso,2019,15.61429064
Cambodia,2019,15.01152423
Cameroon,2019,22.36814036
Canada,2019,0.630483013
Cape Verde,2019,6.487272727
Chile,2019,1.623417054
China,2019,8.559308412
Colombia,2019,1.697570472
Comoros,2019,69.51586369
Congo,2019,12.13361829
Costa Rica,2019,1.139263074
Cote d'Ivoire,2019,11.33934751
Croatia,2019,4.247941889
Cyprus,2019,0.698081735
Democratic Republic of Congo,2019,15.78193592
Denmark,2019,0.067567568
Djibouti,2019,10.56365503
Dominica,2019,15.02777778
Dominican Republic,2019,18.06667287
East Timor,2019,13.33642691
Ecuador,2019,6.262058248
Egypt,2019,14.29961748
El Salvador,2019,3.361171367
Equatorial Guinea,2019,6.934365782
Eritrea,2019,24.0457535
Estonia,2019,0.452488688
Europe,2019,1.580226046
Fiji,2019,4.334831461
Finland,2019,0.473788865
France,2019,0.426531552
French Guiana,2019,0.432989691
Gabon,2019,2.757017948
Gambia,2019,14.9467632
Georgia,2019,0.076807606
Germany,2019,0.606774669
Ghana,2019,17.09520679
Greece,2019,0.430249212
Grenada,2019,12.11607143
Guadeloupe,2019,0.405
Guatemala,2019,17.68972186
Guinea,2019,11.58852087
Guinea-Bissau,2019,10.65330557
Guyana,2019,35.20434227
Haiti,2019,21.12829619
Honduras,2019,14.97999179
Hong Kong,2019,0.777434104
Iceland,2019,0.445427729
India,2019,9.509608
Indonesia,2019,3.045657286
Iran,2019,5.981679813
Iraq,2019,12.51007377
Ireland,2019,0.547931176
Israel,2019,0.711351098
Italy,2019,0.640842279
Jamaica,2019,16.84972863
Japan,2019,0.281286458
Jordan,2019,12.31686795
Kazakhstan,2019,2.92393941
Kenya,2019,5.514455815
Kiribati,2019,0.627118644
Kuwait,2019,0.627525553
Latvia,2019,0.500786576
Lebanon,2019,6.800175029
Lesotho,2019,14.30164706
Liberia,2019,8.087907636
Libya,2019,27.81983178
Lithuania,2019,0.375724638
Madagascar,2019,0.936260151
Malaysia,2019,25.491518
Maldives,2019,0.11299435
Malta,2019,0.588636364
Marshall Islands,2019,0.271186441
Martinique,2019,0.369680851
Mauritania,2019,4.594785683
Mauritius,2019,0.235433071
Mexico,2019,3.375352731
Monaco,2019,0.128205128
Montenegro,2019,0.025477707
Morocco,2019,8.101776705
Mozambique,2019,14.30652704
Myanmar,2019,8.038338422
Namibia,2019,8.373547094
Netherlands,2019,0.890975025
New Zealand,2019,0.358352498
Nicaragua,2019,16.93583868
Nigeria,2019,9.698005613
North America,2019,5.257716269
North Korea,2019,0.01254578
Norway,2019,0.277746793
Oceania,2019,3.240267755
Oman,2019,0.251457286
Pakistan,2019,6.21734837
Palau,2019,6.444444444
Palestine,2019,0.427424212
Panama,2019,8.558407913
Papua New Guinea,2019,13.62101185
Peru,2019,4.315995078
Philippines,2019,37.23096275
Poland,2019,0.372782939
Portugal,2019,0.373362018
Puerto Rico,2019,0.440845551
Qatar,2019,0.540960452
Reunion,2019,0.262092238
Romania,2019,2.693570875
Russia,2019,2.491149775
Saint Kitts and Nevis,2019,1.830188679
Saint Lucia,2019,23.36612022
Saint Vincent and the Grenadines,2019,11.12612613
Samoa,2019,8.822335025
Sao Tome and Principe,2019,9.623255814
Saudi Arabia,2019,0.209402084
Senegal,2019,4.029209622
Seychelles,2019,0.336734694
Sierra Leone,2019,11.67784462
Singapore,2019,0.425223983
Slovakia,2019,0.315008246
Slovenia,2019,0.405964406
Solomon Islands,2019,5.253731343
Somalia,2019,0.002719679
South Africa,2019,12.09855186
South Korea,2019,0.237306003
Spain,2019,0.435415196
Sri Lanka,2019,7.290658413
Sudan,2019,18.25672109
Suriname,2019,39.47160069
Sweden,2019,0.423973695
Syria,2019,0.029408319
Taiwan,2019,0.315554808
Tanzania,2019,29.59055254
Thailand,2019,19.55720564
Togo,2019,15.06842366
Tonga,2019,6.403846154
Trinidad and Tobago,2019,52.42939068
Tunisia,2019,24.7574177
Turkey,2019,19.85029366
Ukraine,2019,8.950697822
United Arab Emirates,2019,0.525534746
United Kingdom,2019,0.442973493
United States,2019,0.812815117
Uruguay,2019,26.75332178
Venezuela,2019,23.54576378
Vietnam,2019,11.53604528
Western Sahara,2019,7.068728522
World,2019,8.008550858
Yemen,2019,10.00401207
Zimbabwe,2019,35.83919426